"D" "Ds" "dist_type" "epsilon" "ppv"
"368" "10000" "50" "uniform" "0" "100"
"369" "10000" "50" "uniform" "0.2" "51.433389544688"
"370" "10000" "50" "uniform" "0.4" "33.7268128161889"
"371" "10000" "50" "uniform" "0.6" "22.7655986509275"
"372" "10000" "50" "uniform" "0.8" "19.9661590524535"
"373" "10000" "50" "uniform" "1" "20.2360876897133"
"374" "10000" "50" "uniform" "1.2" "23.6087689713322"
"375" "10000" "50" "uniform" "1.4" "24.6205733558179"
"376" "10000" "50" "uniform" "1.6" "26.3069139966273"
"377" "10000" "50" "uniform" "1.8" "27.318718381113"
"378" "10000" "50" "uniform" "2" "29.0050590219224"
"379" "10000" "50" "right_skew" "-2" "7.67543859649123"
"380" "10000" "50" "right_skew" "-1.8" "7.67543859649123"
"381" "10000" "50" "right_skew" "-1.6" "7.03296703296703"
"382" "10000" "50" "right_skew" "-1.4" "6.85840707964602"
"383" "10000" "50" "right_skew" "-1.2" "6.23608017817372"
"384" "10000" "50" "right_skew" "-1" "4.47427293064877"
"385" "10000" "50" "right_skew" "-0.8" "3.81165919282511"
"386" "10000" "50" "right_skew" "-0.6" "5.08849557522124"
"387" "10000" "50" "right_skew" "-0.4" "7.64192139737991"
"388" "10000" "50" "right_skew" "-0.2" "51.5151515151515"
"389" "10000" "50" "right_skew" "0" "100"
"390" "10000" "50" "right_skew" "0.2" "89.6103896103896"
"391" "10000" "50" "right_skew" "0.4" "72.9437229437229"
"392" "10000" "50" "right_skew" "0.6" "56.9264069264069"
"393" "10000" "50" "right_skew" "0.8" "47.4025974025974"
"394" "10000" "50" "right_skew" "1" "40.2597402597403"
"395" "10000" "50" "right_skew" "1.2" "36.5800865800866"
"396" "10000" "50" "right_skew" "1.4" "33.7662337662338"
"397" "10000" "50" "right_skew" "1.6" "29.6536796536797"
"398" "10000" "50" "right_skew" "1.8" "28.1385281385281"
"399" "10000" "50" "right_skew" "2" "25.974025974026"
"400" "10000" "50" "left_skew" "-2" "23.728813559322"
"401" "10000" "50" "left_skew" "-1.8" "24.9394673123487"
"402" "10000" "50" "left_skew" "-1.6" "25.90799031477"
"403" "10000" "50" "left_skew" "-1.4" "28.5714285714286"
"404" "10000" "50" "left_skew" "-1.2" "32.2033898305085"
"405" "10000" "50" "left_skew" "-1" "38.0145278450363"
"406" "10000" "50" "left_skew" "-0.8" "46.0048426150121"
"407" "10000" "50" "left_skew" "-0.6" "54.7215496368039"
"408" "10000" "50" "left_skew" "-0.4" "71.1864406779661"
"409" "10000" "50" "left_skew" "-0.2" "84.2615012106538"
"410" "10000" "50" "left_skew" "0" "100"
"411" "10000" "50" "left_skew" "0.2" "48.910411622276"
"412" "10000" "50" "left_skew" "0.4" "7.07317073170732"
"413" "10000" "50" "left_skew" "0.6" "4.66830466830467"
"414" "10000" "50" "left_skew" "0.8" "3.97022332506203"
"415" "10000" "50" "left_skew" "1" "5.1980198019802"
"416" "10000" "50" "left_skew" "1.2" "5.14705882352941"
"417" "10000" "50" "left_skew" "1.4" "5.36585365853659"
"418" "10000" "50" "left_skew" "1.6" "6.34146341463415"
"419" "10000" "50" "left_skew" "1.8" "6.34146341463415"
"420" "10000" "50" "left_skew" "2" "6.34146341463415"
"421" "10000" "150" "norm" "-2" "17.4887892376682"
"422" "10000" "150" "norm" "-1.8" "17.0403587443946"
"423" "10000" "150" "norm" "-1.6" "16.3677130044843"
"424" "10000" "150" "norm" "-1.4" "17.4887892376682"
"425" "10000" "150" "norm" "-1.2" "18.8340807174888"
"426" "10000" "150" "norm" "-1" "22.6457399103139"
"427" "10000" "150" "norm" "-0.8" "26.457399103139"
"428" "10000" "150" "norm" "-0.6" "32.5112107623318"
"429" "10000" "150" "norm" "-0.4" "39.9103139013453"
"430" "10000" "150" "norm" "-0.2" "54.4843049327354"
"431" "10000" "150" "norm" "0" "100"
"432" "10000" "150" "norm" "0.2" "62.1076233183856"
"433" "10000" "150" "norm" "0.4" "46.6367713004484"
"434" "10000" "150" "norm" "0.6" "37.4439461883408"
"435" "10000" "150" "norm" "0.8" "32.5112107623318"
"436" "10000" "150" "norm" "1" "25.1121076233184"
"437" "10000" "150" "norm" "1.2" "23.0941704035874"
"438" "10000" "150" "norm" "1.4" "23.0941704035874"
"439" "10000" "150" "norm" "1.6" "22.6966292134831"
"440" "10000" "150" "norm" "1.8" "22.4719101123595"
"441" "10000" "150" "norm" "2" "22.9213483146067"
"442" "10000" "150" "uniform" "-2" "26.6932270916335"
"443" "10000" "150" "uniform" "-1.8" "26.3473053892216"
"444" "10000" "150" "uniform" "-1.6" "25.748502994012"
"445" "10000" "150" "uniform" "-1.4" "24.5508982035928"
"446" "10000" "150" "uniform" "-1.2" "23.3532934131737"
"447" "10000" "150" "uniform" "-1" "19.560878243513"
"448" "10000" "150" "uniform" "-0.8" "16.7664670658683"
"449" "10000" "150" "uniform" "-0.6" "21.9560878243513"
"450" "10000" "150" "uniform" "-0.4" "31.3373253493014"
"451" "10000" "150" "uniform" "-0.2" "42.5149700598802"
"452" "10000" "150" "uniform" "0" "100"
"453" "10000" "150" "uniform" "0.2" "49.7005988023952"
"454" "10000" "150" "uniform" "0.4" "37.7245508982036"
"455" "10000" "150" "uniform" "0.6" "25.9481037924152"
"456" "10000" "150" "uniform" "0.8" "23"
